SLEOP_ID,Candidate_SLEOP_ID,ElectionDate,ElectionType,ResultType,ElectionWard,CandidateSurname,CandidateFirstName,CandidatePoliticalParty,CandidatePoliticalPartyColor,ValidVotes,ValidVotesPercent,Winner,ResultStatus,CandidatePhoto,ElectionRound
34579,34578,2018-03-07,Councillors,"Ward Results","Ward 004",Daniel,Sahr,APC,FF333C,433,20.14,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33581,33580,2018-03-07,Councillors,"Ward Results","Ward 045",Bull,Joseph,NGC,4B0082,431,7.03,No,Final/Certified,male-blank-profile-photo.png,"First Round"
29947,29946,2018-03-07,Councillors,"Ward Results","Ward 270",Macarthy,Musa,APC,FF333C,431,8.34,No,Provisional,male-blank-profile-photo.png,"First Round"
30242,30241,2018-03-07,Councillors,"Ward Results","Ward 276",Vandy,Alhaji,NGC,4B0082,430,5.77,No,Provisional,male-blank-profile-photo.png,"First Round"
34107,34106,2018-03-07,Councillors,"Ward Results","Ward 203",Conteh,Sorie,SLPP,009900,429,9.34,No,Final/Certified,male-blank-profile-photo.png,"First Round"
32479,32478,2018-03-07,Councillors,"Ward Results","Ward 332",Turay,Abu,UDM,9900cc,428,8.92,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33013,33012,2018-03-07,Councillors,"Ward Results","Ward 111",Kamara,Isatu,NGC,4B0082,428,11.07,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34726,34725,2018-03-07,Councillors,"Ward Results","Ward 015",Nyandeboh,Mohamed,PMDC,F3881E,426,6.85,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30115,30114,2018-03-07,Councillors,"Ward Results","Ward 303",Beecher,Ibrahim,NGC,4B0082,425,7.56,No,Provisional,male-blank-profile-photo.png,"First Round"
33189,33188,2018-03-07,Councillors,"Ward Results","Ward 358",Sesay,Bockarie,C4C,D68910,425,10.29,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33081,33080,2018-03-07,Councillors,"Ward Results","Ward 119",Koroma,Usifu,SLPP,009900,425,6.66,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33508,33507,2018-03-07,Councillors,"Ward Results","Ward 039",Foday,Brima,NGC,4B0082,423,6.44,No,Final/Certified,male-blank-profile-photo.png,"First Round"
33885,33884,2018-03-07,Councillors,"Ward Results","Ward 068",Kamara,Fadilatu,APC,FF333C,423,7.63,No,Final/Certified,female-profile-blank-photo.png,"First Round"
32545,32544,2018-03-07,Councillors,"Ward Results","Ward 338",Kamara,Alhassan,CDP,F1C40F,422,6.13,No,Final/Certified,male-blank-profile-photo.png,"First Round"
34277,34276,2018-03-07,Councillors,"Ward Results","Ward 242",Kamara,Ibrahim,ADP,FF339F,421,5.79,No,Final/Certified,male-blank-profile-photo.png,"First Round"
30776,30775,2018-03-07,Councillors,"Ward Results","Ward 156",Koroma,Mohamed,NGC,4B0082,420,14.80,No,Provisional,male-blank-profile-photo.png,"First Round"
29915,29914,2018-03-07,Councillors,"Ward Results","Ward 273",Sesay,Felix,PMDC,F3881E,418,6.43,No,Provisional,male-blank-profile-photo.png,"First Round"
33454,33453,2018-03-07,Councillors,"Ward Results","Ward 034",Koroma,Kula,APC,FF333C,418,5.13,No,Final/Certified,female-profile-blank-photo.png,"First Round"
